Bairro,Lat,Long
"Grajaú, São Paulo, SP, Brasil",-23.7799713,-46.6737655
"Jardim Ângela, São Paulo, SP, Brasil",-23.7125278,-46.7687195
"Capão Redondo, São Paulo, SP, Brasil",-23.6719026,-46.779435420915036
"Sapopemba, São Paulo, SP, Brasil",-23.6043265,-46.5098851
"Sacomã, São Paulo, SP, Brasil",-23.6012824,-46.6025552
"Jardim São Luís, São Paulo, SP, Brasil",-23.6739274,-46.7407377
"Cidade Ademar, São Paulo, SP, Brasil",-23.6730116,-46.6552806
"Brasilândia, São Paulo, SP, Brasil",-23.4649661,-46.6913891
"Campo Limpo, São Paulo, SP, Brasil",-23.6361999,-46.7627968
"Jabaquara, São Paulo, SP, Brasil",-23.6487101,-46.645451
"Jaraguá, São Paulo, SP, Brasil",-23.446592000000003,-46.73617751601424
"Itaquera, São Paulo, SP, Brasil",-23.5360799,-46.4555099
"Itaim Paulista, São Paulo, SP, Brasil",-23.5017648,-46.3996091
"Tremembé, São Paulo, SP, Brasil",-23.4664699,-46.6337817
